parameter_id,IMPC_DXA_004_001
Gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
Parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.724859
analysis_id,944642y76482kq5
