analysis_id,32o41u79ww96180
gene_symbol,Kdm5b
parameter_id,IMPC_IPG_010_001
parameter_name,Fasted blood glucose concentration
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
pvalue,0.2912957
mouse_strain,C57BL
