parameter_name,Whole arena average speed
gene_accession_id,MGI:1918025
mouse_strain,129SV
analysis_id,z62an6ry1382p76
pvalue,0.9315657
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_009_001
gene_symbol,Zmynd8
