analysis_id,j1d0bt8262u9d52
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_name,Periphery average speed
mouse_life_stage,Early adult
pvalue,0.9227906
gene_symbol,Frmpd1
parameter_id,JAX_OFD_013_001
