analysis_id,r57k55r7d9d1c53
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
gene_symbol,Slc28a2
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.3546256
