analysis_id,3111837159e7682
gene_symbol,Gja10
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:1339969
parameter_name,Total T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6390258
