analysis_id,59kv9xj911pfsa5
gene_symbol,Hpca
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1336200
pvalue,0.6598468
mouse_life_stage,Early adult
parameter_name,Gait
