analysis_id,mc93087t6k32783
gene_symbol,AU040320
parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
pvalue,0.5015111
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_038_001
