parameter_name,Eosinophil number
mouse_life_stage,E12.5
pvalue,0.7692129
analysis_id,7a19890dls243ow
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,MGP_PBI_040_001
