mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
pvalue,0.2119838
mouse_life_stage,Early adult
analysis_id,ojd25ul8602b6y2
gene_symbol,Zmynd8
