gene_symbol,Lime1
mouse_strain,C57BL
pvalue,0.4087927
gene_accession_id,MGI:1919949
parameter_name,Thyroxine
analysis_id,e14p05ca2oz95j7
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
