analysis_id,19t1lbt93np280w
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_017
gene_accession_id,MGI:2443016
parameter_name,Limb grasping
pvalue,0.9783282
gene_symbol,Ifi44
mouse_strain,C54BL
