Gene_symbol,Car13
parameter_id,JAXLA_CSD_041_002
Pvalue,0.495814
Parameter_name,Hindpaw - size
Analysis_id,y0533z33vu81a63
Mouse_strain,C57BL
Gene_accession_id,MGI:1931322
Mouse_life_stage,Early adult
