gene_symbol,Mecom
parameter_name,Hindlimbs - size
mouse_life_stage,E12.5
analysis_id,5100870xh497e6d
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:95457
pvalue,0.7463172
mouse_strain,C57BL
