parameter_name,Pericardium Morphology
gene_symbol,Zmynd8
mouse_life_stage,Early adult
pvalue,0.4277729
analysis_id,7n0x413yc07rvgj
mouse_strain,C57BL
gene_accession_id,MGI:1918025
parameter_id,IMPC_GEL_006_001
