parameter_name,B1B Cells
gene_symbol,Snap23
pvalue,0.1051955
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_064_001
analysis_id,jy7wosl7k436k2v
mouse_strain,C57BL
