analysis_id,5iff4y6nn744tb8
pvalue,0.6524879
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
parameter_name,Neural tube closure
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_GEL_027_001
