gene_symbol,Psd4
gene_accession_id,MGI:2674093
parameter_name,Limb morphology
analysis_id,9l028be6hjx5m2y
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_084_001
pvalue,0.2819331
