analysis_id,t9swwj1450r02zm
parameter_name,HRV
gene_symbol,Slc28a2
mouse_strain,C57BL
gene_accession_id,MGI:1913105
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
pvalue,0.654995
