analysis_id,0yx08l1c3ee620q
parameter_id,IMPC_GEO_048_002
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_name,Anophthalmia
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
pvalue,0.2796683
