gene_symbol,Rab13
parameter_id,IMPC_IMM_052_001
mouse_strain,C57BL
pvalue,0.7559818
analysis_id,03205bwm7avrt74
parameter_name,Eosinophils
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
