analysis_id,2o5uol52b19mz37
parameter_id,MGP_IMM_007_001
mouse_life_stage,Early adult
gene_symbol,Arpc5l
pvalue,0.1113851
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
