analysis_id,9q0zs6s66668bq3
gene_accession_id,MGI:2446274
parameter_id,IMPC_CSD_069_001
parameter_name,Upper teeth appearance
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.8116509
mouse_life_stage,Late adult
