gene_symbol,Bpifa3
parameter_name,Heart looping
analysis_id,1qihrk896481t1f
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.2291659
gene_accession_id,MGI:1920638
parameter_id,IMPC_GEL_057_001
