parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
analysis_id,oin7j4k6ymm16sj
pvalue,0.3790733
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
gene_symbol,Lamb3
