gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_strain,C57BL
analysis_id,d20627tzc70w1o5
parameter_name,Plasmacytoid DC - % of DC
pvalue,0.4987831
mouse_life_stage,Early adult
parameter_id,MGP_MLN_058_001
