parameter_name,18kHz-evoked ABR Threshold
pvalue,0.2832375
mouse_life_stage,Early adult
analysis_id,3739d31mx0ngl9v
gene_accession_id,MGI:3522699
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_symbol,Trpa1
