gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
pvalue,0.2098209
mouse_life_stage,Early adult
parameter_name,Glucose
analysis_id,287s92e10ne2d90
parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
