analysis_id,q9hthng0y1ya946
pvalue,0.07477089
mouse_strain,C57BL
parameter_id,HMGULA_SHI_009_001
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_name,Startle response
