analysis_id,4k628njv885ob2i
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.7797243
gene_accession_id,MGI:1915087
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
