parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
pvalue,0.8742435
gene_accession_id,MGI:2135738
gene_symbol,Abo
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4g8311kw23078a7
