parameter_name,Startle response
analysis_id,i452437n8v4i287
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1923029
mouse_strain,C57BL
pvalue,0.8148693
gene_symbol,Dnaaf9
