gene_symbol,Sfpq
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.5556282
parameter_id,MGP_IMM_101_001
analysis_id,kma72gh726zy9t9
