gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,tk5002dyq3skn54
pvalue,0.9721336
parameter_name,Iron
parameter_id,IMPC_CBC_011_001
