gene_symbol,Ahcy
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
mouse_life_stage,Early adult
pvalue,0.5189438
mouse_strain,C57BL
analysis_id,lk82129su7q86mf
gene_accession_id,MGI:87968
