parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
pvalue,0.4408673
mouse_strain,C57BL
parameter_name,Tibia length
analysis_id,cv92oerq3t68n6w
mouse_life_stage,E9.5
