parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
gene_symbol,Cds2
pvalue,0.239506
analysis_id,c68af19nr7br88y
mouse_strain,129SV
parameter_name,Lens Opacity
