gene_symbol,Slx4ip
parameter_id,IMPC_HWT_008_001
analysis_id,51my983985l4243
pvalue,0.9461483
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
parameter_name,Heart weight
mouse_strain,C57BL
