gene_symbol,F2
parameter_id,IMPC_GEL_057_001
analysis_id,wa1cbku1o17n383
gene_accession_id,MGI:88380
pvalue,0.4025257
parameter_name,Heart looping
mouse_life_stage,Early adult
mouse_strain,C57BL
