parameter_name,Potassium
gene_accession_id,MGI:1914944
analysis_id,ni62t80us658a75
parameter_id,GMC_906_001_005
gene_symbol,Ift74
mouse_strain,C57BL
pvalue,0.07564148
mouse_life_stage,Early adult
