gene_symbol,Il1r1
parameter_name,Snout size
mouse_life_stage,Early adult
analysis_id,8707s8xkwu2w5f8
gene_accession_id,MGI:96545
mouse_strain,C57BL
parameter_id,MGP_CSD_067_001
pvalue,0.6600479
