analysis_id,mqnm28bu3bj8lph
pvalue,0.4044475
parameter_name,Iron
gene_accession_id,MGI:1922745
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Morn5
parameter_id,IMPC_CBC_011_001
