analysis_id,4zbd2hos162s6b9
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_id,MGP_IMM_100_001
mouse_strain,C57BL
parameter_name,Resting NK cells - % of CD45+
pvalue,0.2411447
