parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
pvalue,0.2457432
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,1y39ubbw6s3c092
