analysis_id,rk0hln415c6mq7v
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_name,Head morphology
mouse_life_stage,Early adult
pvalue,0.8990788
gene_symbol,Dmap1
