parameter_name,HRV
gene_accession_id,MGI:2684980
analysis_id,f608f60e49r3658
pvalue,0.2937505
mouse_strain,129SV
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
gene_symbol,Mms22l
