parameter_name,Total food intake
mouse_strain,129SV
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
analysis_id,1103qp8fn9um816
pvalue,0.6176063
gene_symbol,Inpp1
