parameter_name,Joints
gene_accession_id,MGI:1332236
gene_symbol,Cds2
analysis_id,chv53611510s25b
pvalue,0.6635457
mouse_strain,129SV
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
