analysis_id,uq6op3d8r4i3e98
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
pvalue,0.7392986
mouse_life_stage,E15.5
parameter_name,Monocyte percentage
gene_symbol,Mapkap1
