analysis_id,n3e4fc276k745xy
pvalue,0.2612816
parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
gene_symbol,Stk35
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
