parameter_id,UCDLA_EYE_083_001
pvalue,0.8268111
mouse_strain,C57BL
gene_symbol,Bmi1
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_name,Vitreous
analysis_id,654eh497temtk94
