gene_symbol,Lime1
pvalue,0.3783953
mouse_strain,C57BL
gene_accession_id,MGI:1919949
analysis_id,r018gkj8759n5j5
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
