analysis_id,2zmqp64234w051p
parameter_name,Periphery resting time
pvalue,0.8726841
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,IMPC_OFD_011_001
gene_symbol,Cds2
