parameter_name,Red blood cell count
parameter_id,IMPC_HEM_002_001
analysis_id,6t6n8mt341uy0w9
gene_accession_id,MGI:3026886
pvalue,0.9445415
mouse_life_stage,Early adult
gene_symbol,Cdin1
mouse_strain,C57BL
