analysis_id,5009171knt97617
parameter_name,Tibia length
gene_symbol,Fpgs
gene_accession_id,MGI:95576
pvalue,0.1463135
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
