gene_symbol,Tnfsf10
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
gene_accession_id,MGI:107414
analysis_id,7bwd01652nv81e3
mouse_life_stage,Early adult
pvalue,0.9367068
mouse_strain,C57BL
