analysis_id,xoes755s507y55h
pvalue,0.3998361
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_003
parameter_name,Whole arena resting time
gene_symbol,Rufy4
mouse_strain,C57BL
