parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
parameter_name,Spleen weight
pvalue,0.2221003
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,v57kr160ky2pz8e
