gene_symbol,Gfi1b
pvalue,0.3877104
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
mouse_strain,C57BL
gene_accession_id,MGI:1276578
parameter_id,IMPC_EYE_027_001
analysis_id,8y0g80j1t5unj1s
