analysis_id,m3t366l49bk30pq
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_004_001
gene_symbol,Trdmt1
mouse_strain,C57BL
pvalue,0.7005701
gene_accession_id,MGI:1274787
