parameter_name,Potassium
pvalue,0.134534
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
mouse_strain,C3H
analysis_id,76001573azj84l2
gene_symbol,Mecom
parameter_id,GMC_906_001_005
