analysis_id,2o5p1723lbz524l
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
pvalue,0.417197
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
parameter_name,Neutrophil percentage
gene_symbol,Hspa5
