gene_symbol,Clvs1
analysis_id,o3z3ada0x966s55
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_005_001
pvalue,0.4737288
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
mouse_strain,C57BL
