parameter_name,Monocyte percentage
pvalue,0
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
analysis_id,jz0o21330t61012
gene_accession_id,MGI:894679
gene_symbol,Bach2
